organization_id,animal_id,animal_type,age,attributes.declawed,attributes.house_trained,attributes.shots_current,attributes.spayed_neutered,attributes.special_needs,breeds.mixed,breeds.primary,breeds.secondary,breeds.unknown,coat,colors.primary,colors.secondary,colors.tertiary,contact.address.address1,contact.address.address2,contact.address.city,contact.address.country,contact.address.postcode,contact.address.state,contact.email,contact.phone,description,distance,environment.cats,environment.children,environment.dogs,gender,id,name,organization_id,photos,published_at,size,species,status,status_changed_at,tags,type,url
ca672,47132841,dog,Senior,,False,False,True,False,False,Yorkshire Terrier,,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Female,47132841,A5345943,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47132841/1/?bust=1579207691&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47132841/1/?bust=1579207691&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47132841/1/?bust=1579207691&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47132841/1/?bust=1579207691'}]",2020-01-16T20:38:08+0000,Small,Dog,adoptable,2020-01-16T20:38:08+0000,[],Dog,https://www.petfinder.com/dog/a5345943-47132841/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
ca672,47131953,dog,Senior,,False,False,True,False,True,Jindo,Mixed Breed,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Female,47131953,RUBY,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47131953/1/?bust=1579204205&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47131953/1/?bust=1579204205&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47131953/1/?bust=1579204205&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47131953/1/?bust=1579204205'}]",2020-01-16T19:38:35+0000,Medium,Dog,adoptable,2020-01-16T19:38:35+0000,[],Dog,https://www.petfinder.com/dog/ruby-47131953/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
ca672,47131954,dog,Senior,,False,False,False,False,False,Doberman Pinscher,,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Female,47131954,RUBY,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47131954/1/?bust=1579204181&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47131954/1/?bust=1579204181&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47131954/1/?bust=1579204181&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47131954/1/?bust=1579204181'}]",2020-01-16T19:38:35+0000,Large,Dog,adoptable,2020-01-16T19:38:35+0000,[],Dog,https://www.petfinder.com/dog/ruby-47131954/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
ca672,47130497,dog,Adult,,False,False,True,False,False,Doberman Pinscher,,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Female,47130497,PERLA,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47130497/1/?bust=1579196947&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47130497/1/?bust=1579196947&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47130497/1/?bust=1579196947&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47130497/1/?bust=1579196947'}]",2020-01-16T17:38:05+0000,Large,Dog,adoptable,2020-01-16T17:38:05+0000,[],Dog,https://www.petfinder.com/dog/perla-47130497/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
ca672,47122739,dog,Young,,False,False,False,False,False,Australian Cattle Dog / Blue Heeler,,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Male,47122739,CHANCE,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47122739/1/?bust=1579124730&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47122739/1/?bust=1579124730&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47122739/1/?bust=1579124730&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47122739/1/?bust=1579124730'}]",2020-01-15T20:35:35+0000,Medium,Dog,adoptable,2020-01-15T20:35:35+0000,[],Dog,https://www.petfinder.com/dog/chance-47122739/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
ca672,47114977,dog,Young,,False,False,True,False,False,Husky,,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Female,47114977,BIANCA,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47114977/1/?bust=1579045377&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47114977/1/?bust=1579045377&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47114977/1/?bust=1579045377&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47114977/1/?bust=1579045377'}]",2020-01-14T23:32:51+0000,Medium,Dog,adoptable,2020-01-14T23:32:51+0000,[],Dog,https://www.petfinder.com/dog/bianca-47114977/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
ca672,47106815,dog,Adult,,False,False,True,False,False,Husky,,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Male,47106815,JUNO,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47106815/1/?bust=1578973207&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47106815/1/?bust=1578973207&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47106815/1/?bust=1578973207&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47106815/1/?bust=1578973207'}]",2020-01-14T03:30:05+0000,Medium,Dog,adoptable,2020-01-14T03:30:05+0000,[],Dog,https://www.petfinder.com/dog/juno-47106815/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
ca672,47105141,dog,Senior,,False,False,True,False,False,Pit Bull Terrier,,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Female,47105141,HONEY,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47105141/1/?bust=1578962423&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47105141/1/?bust=1578962423&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47105141/1/?bust=1578962423&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47105141/1/?bust=1578962423'}]",2020-01-13T23:29:53+0000,Large,Dog,adoptable,2020-01-13T23:29:53+0000,[],Dog,https://www.petfinder.com/dog/honey-47105141/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
ca672,47105140,dog,Adult,,False,False,True,False,False,Pit Bull Terrier,,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Female,47105140,ABAGAIL,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47105140/1/?bust=1578962424&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47105140/1/?bust=1578962424&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47105140/1/?bust=1578962424&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47105140/1/?bust=1578962424'}]",2020-01-13T23:29:53+0000,Large,Dog,adoptable,2020-01-13T23:29:53+0000,[],Dog,https://www.petfinder.com/dog/abagail-47105140/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
ca672,47087404,dog,Young,,False,False,True,False,False,Chihuahua,,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Female,47087404,CUTIE,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47087404/1/?bust=1578764047&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47087404/1/?bust=1578764047&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47087404/1/?bust=1578764047&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47087404/1/?bust=1578764047'}]",2020-01-11T17:23:51+0000,Medium,Dog,adoptable,2020-01-11T17:23:51+0000,[],Dog,https://www.petfinder.com/dog/cutie-47087404/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
ca672,47082440,dog,Adult,,False,False,True,False,True,Terrier,Mixed Breed,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Male,47082440,NEPTUNE,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47082440/1/?bust=1578699107&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47082440/1/?bust=1578699107&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47082440/1/?bust=1578699107&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47082440/1/?bust=1578699107'}]",2020-01-10T23:21:41+0000,Small,Dog,adoptable,2020-01-10T23:21:41+0000,[],Dog,https://www.petfinder.com/dog/neptune-47082440/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
ca672,47064185,dog,Senior,,False,False,False,False,False,Doberman Pinscher,,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Female,47064185,RAVEN,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47064185/1/?bust=1578792921&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47064185/1/?bust=1578792921&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47064185/1/?bust=1578792921&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47064185/1/?bust=1578792921'}]",2020-01-09T04:16:22+0000,Large,Dog,adoptable,2020-01-09T04:16:22+0000,[],Dog,https://www.petfinder.com/dog/raven-47064185/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
ca672,47062725,dog,Adult,,False,False,False,False,False,Pit Bull Terrier,,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Female,47062725,MACY,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47062725/1/?bust=1579038147&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47062725/1/?bust=1579038147&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47062725/1/?bust=1579038147&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47062725/1/?bust=1579038147'}]",2020-01-09T00:09:12+0000,Large,Dog,adoptable,2020-01-09T00:09:12+0000,[],Dog,https://www.petfinder.com/dog/macy-47062725/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
ca672,47060911,dog,Young,,False,False,True,False,True,Labrador Retriever,Mixed Breed,False,,,,,31044 N. Charlie Canyon Rd.,,Castaic,US,91384,CA,,661-257-3191,,2.0066,,,,Female,47060911,PEPPER,CA672,"[{u'small': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47060911/1/?bust=1579038145&width=100', u'large': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47060911/1/?bust=1579038145&width=600', u'medium': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47060911/1/?bust=1579038145&width=300', u'full': u'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47060911/1/?bust=1579038145'}]",2020-01-08T21:08:50+0000,Large,Dog,adoptable,2020-01-08T21:08:50+0000,[],Dog,https://www.petfinder.com/dog/pepper-47060911/ca/castaic/l-dot-a-county-animal-care-control-castaic-shelter-ca672/?referrer_id=e707e62a-337a-4af2-8131-6351f80a46fc
